category,column_name,data_type,note
Match info,country,string,
Match info,league_name,string,
Match info,league_code,string,
Match info,season,string,
Match info,Date,string,Parse to datetime later
Match info,Time,string,
Match info,HomeTeam,string,
Match info,AwayTeam,string,
Results,FTHG,Int64, Nullable integer (handles NaN)
Results,FTAG,Int64,
Results,FTR,string,
Results,HTHG,Int64,
Results,HTAG,Int64,
 Bet365 odds,B365H,float64,
 Bet365 odds,B365D,float64,
 Bet365 odds,B365A,float64,
 Pinnacle,PSH,float64,
 Pinnacle,PSD,float64,
 Pinnacle,PSA,float64,
 William Hill,WHH,float64,
 William Hill,WHD,float64,
 William Hill,WHA,float64,
 Average odds,BbAvH,float64,
 Average odds,BbAvD,float64,
 Average odds,BbAvA,float64,
 Closing odds,B365CH,float64,
 Closing odds,B365CD,float64,
 Closing odds,B365CA,float64,
 Closing odds,PSCH,float64,
 Closing odds,PSCD,float64,
 Closing odds,PSCA,float64,
 Over/Under 2.5,B365>2.5,float64,
 Over/Under 2.5,B365<2.5,float64,
 Over/Under 2.5,P>2.5,float64,
 Over/Under 2.5,P<2.5,float64,
 Over/Under 2.5,P<2.5,float64,
