country,league_key,league_code,league_name,fixture_name,odds_name
Belgium,be.1,B1,Belgian Pro League,Cercle Brugge,Cercle Brugge
Belgium,be.1,B1,Belgian Pro League,Club Brugge KV,Club Brugge
Belgium,be.1,B1,Belgian Pro League,FCV Dender EH,Dender
Belgium,be.1,B1,Belgian Pro League,KAA Gent,Gent
Belgium,be.1,B1,Belgian Pro League,KRC Genk,Genk
Belgium,be.1,B1,Belgian Pro League,KV Mechelen,Mechelen
Belgium,be.1,B1,Belgian Pro League,KVC Westerlo,Westerlo
Belgium,be.1,B1,Belgian Pro League,Oud-Heverlee Leuven,Oud-Heverlee Leuven
Belgium,be.1,B1,Belgian Pro League,RAA La Louviére,RAAL La Louviere
Belgium,be.1,B1,Belgian Pro League,Royal Antwerp FC,Antwerp
Belgium,be.1,B1,Belgian Pro League,RSC Anderlecht,Anderlecht
Belgium,be.1,B1,Belgian Pro League,Sint-Truidense VV,St Truiden
Belgium,be.1,B1,Belgian Pro League,Sporting Charleroi,Charleroi
Belgium,be.1,B1,Belgian Pro League,Standard Liège,Standard
Belgium,be.1,B1,Belgian Pro League,SV Zulte Waregem,Waregem
Belgium,be.1,B1,Belgian Pro League,Union Saint-Gilloise,St. Gilloise
England,en.1,E0,Premier League,AFC Bournemouth,Bournemouth
England,en.1,E0,Premier League,Arsenal FC,Arsenal
England,en.1,E0,Premier League,Aston Villa,Aston Villa
England,en.1,E0,Premier League,Brentford FC,Brentford
England,en.1,E0,Premier League,Brighton & Hove Albion,Brighton
England,en.1,E0,Premier League,Burnley FC,Burnley
England,en.1,E0,Premier League,Chelsea FC,Chelsea
England,en.1,E0,Premier League,Crystal Palace,Crystal Palace
England,en.1,E0,Premier League,Everton FC,Everton
England,en.1,E0,Premier League,Fulham FC,Fulham
England,en.1,E0,Premier League,Leeds United,Leeds
England,en.1,E0,Premier League,Liverpool FC,Liverpool
England,en.1,E0,Premier League,Manchester City,Man City
England,en.1,E0,Premier League,Manchester United,Man United
England,en.1,E0,Premier League,Newcastle United,Newcastle
England,en.1,E0,Premier League,Nottingham Forest,Nott'm Forest
England,en.1,E0,Premier League,Sunderland AFC,Sunderland
England,en.1,E0,Premier League,Tottenham Hotspur,Tottenham
England,en.1,E0,Premier League,West Ham United,West Ham
England,en.1,E0,Premier League,Wolverhampton Wanderers,Wolves
England,en.2,E1,EFL Championship,Birmingham City,Birmingham
England,en.2,E1,EFL Championship,Blackburn Rovers,Blackburn
England,en.2,E1,EFL Championship,Bristol City,Bristol City
England,en.2,E1,EFL Championship,Charlton Athletic,Charlton
England,en.2,E1,EFL Championship,Coventry City,Coventry
England,en.2,E1,EFL Championship,Derby County,Derby
England,en.2,E1,EFL Championship,Hull City,Hull
England,en.2,E1,EFL Championship,Ipswich Town,Ipswich
England,en.2,E1,EFL Championship,Leicester City,Leicester
England,en.2,E1,EFL Championship,Middlesbrough FC,Middlesbrough
England,en.2,E1,EFL Championship,Millwall FC,Millwall
England,en.2,E1,EFL Championship,Norwich City,Norwich
England,en.2,E1,EFL Championship,Oxford United,Oxford
England,en.2,E1,EFL Championship,Portsmouth FC,Portsmouth
England,en.2,E1,EFL Championship,Preston North End,Preston
England,en.2,E1,EFL Championship,Queens Park Rangers,Queens Park
England,en.2,E1,EFL Championship,Sheffield United,Sheffield United
England,en.2,E1,EFL Championship,Sheffield Wednesday,Sheffield Weds
England,en.2,E1,EFL Championship,Southampton FC,Southampton
England,en.2,E1,EFL Championship,Stoke City,Stoke
England,en.2,E1,EFL Championship,Swansea City,Swansea
England,en.2,E1,EFL Championship,Watford FC,Watford
England,en.2,E1,EFL Championship,West Bromwich Albion,West Brom
England,en.2,E1,EFL Championship,Wrexham AFC,Wrexham
England,en.3,E2,EFL League One,AFC Wimbledon,AFC Wimbledon
England,en.3,E2,EFL League One,Barnsley FC,Barnsley
England,en.3,E2,EFL League One,Blackpool FC,Blackpool
England,en.3,E2,EFL League One,Bolton Wanderers,Bolton
England,en.3,E2,EFL League One,Bradford City,Bradford
England,en.3,E2,EFL League One,Burton Albion,Burton
England,en.3,E2,EFL League One,Cardiff City,Cardiff
England,en.3,E2,EFL League One,Doncaster Rovers,Doncaster
England,en.3,E2,EFL League One,Exeter City,Exeter
England,en.3,E2,EFL League One,Huddersfield Town,Huddersfield
England,en.3,E2,EFL League One,Leyton Orient,Leyton Orient
England,en.3,E2,EFL League One,Lincoln City,Lincoln
England,en.3,E2,EFL League One,Luton Town,Luton
England,en.3,E2,EFL League One,Mansfield Town,Mansfield
England,en.3,E2,EFL League One,Northampton Town,Northampton
England,en.3,E2,EFL League One,Peterborough United,Peterboro
England,en.3,E2,EFL League One,Plymouth Argyle,Plymouth
England,en.3,E2,EFL League One,Port Vale FC,Port Vale
England,en.3,E2,EFL League One,Reading FC,Reading
England,en.3,E2,EFL League One,Rotherham United,Rotherham
England,en.3,E2,EFL League One,Stevenage FC,Stevenage
England,en.3,E2,EFL League One,Stockport County,Stockport
England,en.3,E2,EFL League One,Wigan Athletic,Wigan
England,en.3,E2,EFL League One,Wycombe Wanderers,Wycombe
England,en.4,E3,EFL League Two,Accrington Stanley,Accrington
England,en.4,E3,EFL League Two,Barnet FC,Barnet
England,en.4,E3,EFL League Two,Barrow AFC,Barrow
England,en.4,E3,EFL League Two,Bristol Rovers,Bristol Rvs
England,en.4,E3,EFL League Two,Bromley FC,Bromley
England,en.4,E3,EFL League Two,Cambridge United,Cambridge
England,en.4,E3,EFL League Two,Cheltenham Town,Cheltenham
England,en.4,E3,EFL League Two,Chesterfield FC,Chesterfield
England,en.4,E3,EFL League Two,Colchester United,Colchester
England,en.4,E3,EFL League Two,Crawley Town,Crawley Town
England,en.4,E3,EFL League Two,Crewe Alexandra,Crewe
